De la tarea: Limpiar paneles Se completo la accion: Viajar al culto para reclutar colaboradores, Tiempo: 3, Batería gastada: 25
De la tarea: Limpiar paneles Se completo la accion: Reclutar colaboradores, Tiempo: 5, Batería gastada: 9
De la tarea: Limpiar paneles Se completo la accion: Viajar al área de recreación para reclutar colaboradores, Tiempo: 4, Batería gastada: 23
De la tarea: Limpiar paneles Se completo la accion: Reclutar colaboradores, Tiempo: 1, Batería gastada: 14
De la tarea: Limpiar paneles Se completo la accion: Viajar al gym para reclutar colaboradores, Tiempo: 4, Batería gastada: 17
De la tarea: Limpiar paneles Se completo la accion: Reclutar colaboradores, Tiempo: 4, Batería gastada: 9
De la tarea: Aprender a tocar guitarra Se completo la accion: Conseguir materiales para construir una guitarra, Tiempo: 3, Batería gastada: 20
De la tarea: Aprender a tocar guitarra Se completo la accion: Aprender como se construye, Tiempo: 6, Batería gastada: 12
De la tarea: Cocinar pizza Se completo la accion: Para empezar el dia bendecido, Tiempo: 3, Batería gastada: 30
De la tarea: Cocinar pizza Se completo la accion: Para aprender como hacer pizza, Tiempo: 1, Batería gastada: 13
De la tarea: Cocinar pizza Se completo la accion: Comprar los materiales que se ocupan, Tiempo: 1, Batería gastada: 6
De la tarea: Cocinar pizza Se completo la accion: Trabajar un poquito en la pizza, Tiempo: 4, Batería gastada: 22
De la tarea: Cocinar pizza Se completo la accion: Se olvido de los tomates, Tiempo: 2, Batería gastada: 5
De la tarea: Cocinar pizza Se completo la accion: Volver a trabajar un poquito, Tiempo: 1, Batería gastada: 12
De la tarea: Practicar para Jedrez Se completo la accion: Leer sobre el Jedrez, Tiempo: 1, Batería gastada: 8
De la tarea: Entrenar perro Se completo la accion: Leer sobre como entrenar perros, Tiempo: 2, Batería gastada: 13
De la tarea: Entrenar perro Se completo la accion: Conseguir premios para el perro, Tiempo: 2, Batería gastada: 25
De la tarea: Entrenar perro Se completo la accion: Se le olvido ir a culto de 7, entonces fue al de 10, Tiempo: 5, Batería gastada: 13
De la tarea: Entrenar perro Se completo la accion: Empezo a enseñarle al perro, pero lo mordio, Tiempo: 3, Batería gastada: 12
De la tarea: Entrenar perro Se completo la accion: Se fue a comprar algo para curarse, Tiempo: 5, Batería gastada: 29
De la tarea: Entrenar perro Se completo la accion: Aprovecho para entrenar un poquito, Tiempo: 2, Batería gastada: 23
De la tarea: Entrenar perro Se completo la accion: Se fue al parque a ver como entrenaban otros perros, Tiempo: 2, Batería gastada: 29
De la tarea: Entrenar perro Se completo la accion: Ahora si se puso en serio, Tiempo: 2, Batería gastada: 23
De la tarea: Aprender a boxear Se completo la accion: Rezar y agradecer para empezar el día, Tiempo: 2, Batería gastada: 9
De la tarea: Honear queque Se completo la accion: Consulta a la comunidad por el queque que quieren, Tiempo: 20, Batería gastada: 5
